image,high,medium,medium-low,low,high_clip,high_ssim,mc_clip,mc_ssim
/68-scenes/bridge-68/beach_07_06_flickr.jpg,0.8842247908214427,0.6045758061954682,0,0,0.9020940065383911,0.8425299541485628,0.7852327227592468,0.1830430008799851
/68-scenes/bridge-68/BeamBridge01.jpg,0.8848438077258929,0.5552367947996362,0,0,0.9080086350440979,0.8307925439834146,0.6675761938095093,0.2931115304432658
/68-scenes/bridge-68/BixbyBridge01.jpg,0.8838734670523638,0.5950485714230521,0,0,0.8894006013870239,0.8709768202714905,0.7166142463684082,0.31139532988388774
/68-scenes/bridge-68/bridge02.jpg,0.8784301423290666,0.5126510402316246,0,0,0.8755354881286621,0.8851843354633437,0.6407321095466614,0.21379521182987218
/68-scenes/bridge-68/b_791021.jpg,0.8526985751456355,0.5360997609263267,0,0,0.8417768478393555,0.8781826055269559,0.6357592940330505,0.3035608503439711
/68-scenes/bridge-68/b_791022.jpg,0.8754787497005843,0.5651957642545429,0,0,0.8774559497833252,0.8708652828408555,0.7320386171340942,0.17589577420225636
/68-scenes/bridge-68/b_791026.jpg,0.8717080293807706,0.6245217759708636,0,0,0.8766143321990967,0.8602599894713432,0.6496518850326538,0.5658848548266863
/68-scenes/bridge-68/b_791051.jpg,0.830649941686219,0.5391172556526227,0,0,0.8201576471328735,0.855131962310692,0.6030996441841125,0.38982501574581285
/68-scenes/bridge-68/b_791052.jpg,0.8692768130441608,0.6567909593176707,0,0,0.8843098282814026,0.834199777490597,0.7349016666412354,0.4745326422293534
/68-scenes/bridge-68/b_791053.jpg,0.8657395226117117,0.6263096021719075,0,0,0.8589591979980469,0.8815602800435963,0.7474380731582642,0.34367650320374177
/68-scenes/bridge-68/b_791076.jpg,0.8303486704829035,0.4908396622807646,0,0,0.8331541419029236,0.8238025705028569,0.5743202567100525,0.2960516086124261
/68-scenes/bridge-68/b_792022.jpg,0.8769550093341159,0.5855879577567372,0,0,0.9016934037208557,0.8192320890983895,0.7246232032775879,0.2611723848747523
/68-scenes/bridge-68/b_792045.jpg,0.8856714401827492,0.6244638780661771,0,0,0.8896554708480835,0.8763753686303025,0.7067104578018188,0.43255519201634635
/68-scenes/bridge-68/b_792046.jpg,0.812694124932666,0.46116398464240677,0,0,0.8242888450622559,0.7856397779636234,0.5650126934051514,0.21885033086266928
/68-scenes/bridge-68/b_792059.jpg,0.8777949133903253,0.6579265552633806,0,0,0.907340407371521,0.808855427434202,0.7951208353042603,0.3378065685013283
/68-scenes/bridge-68/b_792083.jpg,0.8491281836868365,0.6650856337701578,0,0,0.8721666932106018,0.7953716614647174,0.7559554576873779,0.45305604462997745
/68-scenes/bridge-68/b_792087.jpg,0.8705282804327308,0.6768325845078409,0,0,0.8927555680274963,0.8186646093782778,0.8241686820983887,0.3330483567965627
/68-scenes/bridge-68/b_792090.jpg,0.8607312264707663,0.6323306406904515,0,0,0.8713589310646057,0.835933249085141,0.7156573534011841,0.4379016443654089
/68-scenes/bridge-68/b_792098.jpg,0.9053792895597218,0.5863887893232391,0,0,0.914696455001831,0.8836392368614667,0.7167245149612427,0.28227209616789756
/68-scenes/bridge-68/cablebridgecoalbrook.jpg,0.884850229161353,0.6808478324995558,0,0,0.9160839915275574,0.8119714503068762,0.8034428358078003,0.394792824780319
/68-scenes/bridge-68/cantdouble.jpg,0.8893201565992711,0.6523227792800639,0,0,0.9353331923484802,0.7819564065177833,0.6759119629859924,0.5972813506328973
/68-scenes/bridge-68/columbusbridge01.jpg,0.9016612280274491,0.595430633997144,0,0,0.9196921586990356,0.859589056460414,0.7808325290679932,0.16282621216516296
/68-scenes/bridge-68/c_791003.jpg,0.8975240809132694,0.7209579190539539,0,0,0.9293568730354309,0.8232475659615593,0.8290327191352844,0.4687833855308492
/68-scenes/bridge-68/c_791015.jpg,0.86159721674877,0.4934405013037191,0,0,0.8891972303390503,0.7971971850381161,0.6165598034858704,0.20616212954536614
/68-scenes/bridge-68/c_791026.jpg,0.8660315667616869,0.5866161960893652,0,0,0.879726231098175,0.8340773499765481,0.6066562533378601,0.5398560625095439
/68-scenes/bridge-68/c_791051.jpg,0.8663471764537042,0.5802965460435676,0,0,0.8707646131515503,0.8560398241587299,0.6517754197120667,0.4135125074837365
/68-scenes/bridge-68/c_791076.jpg,0.850984357409309,0.5299960755529822,0,0,0.8699407577514648,0.8067527566109456,0.6401509046554565,0.2729681409805425
/68-scenes/bridge-68/c_791096.jpg,0.8614095064706105,0.7455660224108307,0,0,0.8609219193458557,0.8625472097617052,0.8543341755867004,0.49177366500046826
/68-scenes/bridge-68/c_792012.jpg,0.8717279809912772,0.6715506409912202,0,0,0.90446537733078,0.7953407228657706,0.7537349462509155,0.47978726205193106
/68-scenes/bridge-68/c_792039.jpg,0.8638855090862976,0.6685096492927158,0,0,0.8769294023513794,0.8334497581344401,0.7781814336776733,0.41260881906114816
/68-scenes/bridge-68/c_792041.jpg,0.8510290179723357,0.6061302225434744,0,0,0.8909834027290344,0.7578021202067053,0.7300552725791931,0.3169717724601306
/68-scenes/bridge-68/c_792045.jpg,0.8730844438735301,0.5950204274876134,0,0,0.8819525837898254,0.8523921174021747,0.6822640299797058,0.3914520216727314
/68-scenes/bridge-68/c_792050.jpg,0.7862709650488575,0.5457205744540493,0,0,0.8199350833892822,0.7077213555878664,0.695873498916626,0.19536375070803713
/68-scenes/bridge-68/c_792080.jpg,0.8792744050047224,0.6148580161340553,0,0,0.8920625448226929,0.8494354120961247,0.7385390400886536,0.3262689602399929
