image,high_clip,high_ssim,medium_clip,medium_ssim,medium_low_clip,low_clip
/68-scenes/bridge-68/beach_07_06_flickr.jpg,0.8397964239120483,0.8425299541485628,0.7881473898887634,0.1830430008799851,0.23789609968662262,0.25879472494125366
/68-scenes/bridge-68/b_791052.jpg,0.8851897716522217,0.834199777490597,0.7606960535049438,0.4745326422293534,0.31122803688049316,0.2503569722175598
/68-scenes/bridge-68/b_792098.jpg,0.8687664866447449,0.8836397389217625,0.449698805809021,0.28227209616789756,0.2775503695011139,0.26902827620506287
/68-scenes/bridge-68/c_791015.jpg,0.805657148361206,0.7971971850381161,0.4398249387741089,0.20616212954536614,0.2810092866420746,0.28446003794670105
/68-scenes/bridge-68/t_792098.jpg,0.835756242275238,0.8622344137940621,0.344960480928421,0.22962722312042633,0.27830445766448975,0.27630722522735596
/68-scenes/house-68/house_03_01_google.jpg,0.8723543286323547,0.8649653644285608,0.7083655595779419,0.33228535585153196,0.31399184465408325,0.20112484693527222
/68-scenes/house-68/house_06_09_google.jpg,0.8648834228515625,0.868230785406278,0.546451210975647,0.3827790874054638,0.3116890788078308,0.21670570969581604
/68-scenes/house-68/house_08_03_askl.jpg,0.7772129774093628,0.8418027904020172,0.5977742671966553,0.27429688362077664,0.2985376715660095,0.19943998754024506
/68-scenes/house-68/house_13_02_askl.jpg,0.8186964988708496,0.8996028226390531,0.5784430503845215,0.39748590267378126,0.29151272773742676,0.22608155012130737
/68-scenes/house-68/meeting+room_06_04_askl.jpg,0.8401180505752563,0.9003143129035694,0.6040024161338806,0.32006759408534396,0.24126115441322327,0.2613866329193115
