target,modality,RT
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium-low,3.9244864000938833
68-scenes\house-68\house_13_02_askl.jpg,low,3.553356100106612
68-scenes\skyscraper-68\a462057.jpg,high,-1
68-scenes\house-68\house_03_01_google.jpg,medium,3.8445772000122815
68-scenes\skyscraper-68\urban987.jpg,medium-low,4.8436501999385655
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium,2.1657926000189036
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium,4.1754944999702275
68-scenes\house-68\house_08_03_askl.jpg,control,2.995420399820432
68-scenes\house-68\house_06_09_google.jpg,high,4.235691100126132
68-scenes\library-68\inside01.jpg,control,2.6220833000261337
68-scenes\library-68\ccls-img-buildingbos.jpg,medium,2.504040500149131
68-scenes\temple-68\TempleOfHeaven.jpg,medium-low,2.4976483997888863
68-scenes\bridge-68\t_792098.jpg,medium-low,3.520322199910879
68-scenes\skyscraper-68\a487065.jpg,control,2.1661105998791754
68-scenes\bridge-68\b_791052.jpg,high,2.6304836000781506
68-scenes\library-68\Library_P2150016.jpg,medium-low,3.168387999990955
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium-low,3.5057177001144737
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,low,3.2880373999942094
68-scenes\bridge-68\c_791015.jpg,low,2.575472400058061
68-scenes\skyscraper-68\a212044.jpg,medium,3.855726999929175
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,high,3.851667599985376
68-scenes\temple-68\khookongsi.jpg,high,2.520333900116384
68-scenes\temple-68\shwezigon-temple-500.jpg,control,3.832879099994898
68-scenes\bridge-68\b_792098.jpg,control,2.5946847999002784
68-scenes\skyscraper-68\city10.jpg,low,3.227318699937314
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,high,3.5120677000377327
68-scenes\temple-68\Singapore_01.jpg,low,2.1661320999264717
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,control,4.252152499975637
68-scenes\library-68\librairie-16.jpg,low,3.8550849999301136
68-scenes\temple-68\image03.jpg,medium,2.8848240000661463
