target,modality,RT
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,low,4.8405041000805795
68-scenes\temple-68\Singapore_01.jpg,medium,3.876306900056079
68-scenes\bridge-68\b_792098.jpg,medium-low,3.2848433000035584
68-scenes\library-68\ccls-img-buildingbos.jpg,control,2.9285651999525726
68-scenes\house-68\house_03_01_google.jpg,control,2.8368981999810785
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,control,2.822569699957967
68-scenes\library-68\inside01.jpg,medium-low,2.9907520001288503
68-scenes\house-68\house_06_09_google.jpg,low,2.834689299808815
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,high,2.1651910999789834
68-scenes\skyscraper-68\a487065.jpg,medium-low,1.8433957998640835
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,low,2.834793800022453
68-scenes\house-68\house_08_03_askl.jpg,medium-low,1.6539761000312865
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium-low,3.8536132001318038
68-scenes\bridge-68\t_792098.jpg,high,2.1872549999970943
68-scenes\temple-68\TempleOfHeaven.jpg,high,2.554020900046453
68-scenes\temple-68\shwezigon-temple-500.jpg,medium-low,2.334303200012073
68-scenes\skyscraper-68\a462057.jpg,low,1.3358032999094576
68-scenes\library-68\Library_P2150016.jpg,high,2.5109043999109417
68-scenes\temple-68\image03.jpg,control,1.9882071998436004
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium,2.1813860000111163
68-scenes\temple-68\khookongsi.jpg,low,2.6514532000292093
68-scenes\house-68\meeting+room_06_04_askl.jpg,high,2.19582900009118
68-scenes\skyscraper-68\a212044.jpg,control,3.192078599939123
68-scenes\house-68\house_13_02_askl.jpg,medium,2.917947400128469
68-scenes\bridge-68\beach_07_06_flickr.jpg,control,2.1705223999451846
68-scenes\skyscraper-68\city10.jpg,medium,1.9976971000432968
68-scenes\skyscraper-68\urban987.jpg,high,1.8407145000528544
68-scenes\bridge-68\c_791015.jpg,medium,1.8210072999354452
68-scenes\library-68\librairie-16.jpg,medium,2.175835199886933
68-scenes\bridge-68\b_791052.jpg,low,3.1781666001770645
