target,modality,RT
68-scenes\temple-68\Singapore_01.jpg,control,2.2198991999030113
68-scenes\house-68\house_13_02_askl.jpg,control,1.5149797999765724
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium,2.3256488000042737
68-scenes\library-68\ccls-img-buildingbos.jpg,medium-low,1.6455891001969576
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,high,2.16036959993653
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,control,1.8517367001622915
68-scenes\skyscraper-68\a212044.jpg,medium-low,1.4871499999426305
68-scenes\skyscraper-68\a487065.jpg,high,1.66293690004386
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,low,1.9582811000291258
68-scenes\temple-68\TempleOfHeaven.jpg,low,1.334159899968654
68-scenes\bridge-68\b_791052.jpg,medium,1.501893199980259
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium,1.5075505001004785
68-scenes\skyscraper-68\city10.jpg,control,1.6243185000494123
68-scenes\house-68\meeting+room_06_04_askl.jpg,low,1.8837619998957962
68-scenes\temple-68\image03.jpg,medium-low,1.6411148998886347
68-scenes\bridge-68\t_792098.jpg,low,1.833580099977553
68-scenes\house-68\house_08_03_askl.jpg,high,2.1696701000910252
68-scenes\library-68\Library_P2150016.jpg,low,1.834662799956277
68-scenes\library-68\librairie-16.jpg,control,1.4935380001552403
68-scenes\house-68\house_06_09_google.jpg,medium,1.9764082999899983
68-scenes\temple-68\khookongsi.jpg,medium,2.2895624998491257
68-scenes\library-68\inside01.jpg,high,2.1654558000154793
68-scenes\house-68\house_03_01_google.jpg,medium-low,1.6345349999610335
68-scenes\temple-68\shwezigon-temple-500.jpg,high,2.1564444999676198
68-scenes\skyscraper-68\a462057.jpg,medium,2.154461600119248
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium-low,2.1675144000910223
68-scenes\bridge-68\c_791015.jpg,control,2.187633299967274
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium-low,1.82775739999488
68-scenes\skyscraper-68\urban987.jpg,low,2.4924053999129683
68-scenes\bridge-68\b_792098.jpg,high,1.5500718001276255
