target,modality,RT
68-scenes\library-68\librairie-16.jpg,medium,3.4687428000033833
68-scenes\skyscraper-68\a487065.jpg,medium-low,2.632398799993098
68-scenes\skyscraper-68\a462057.jpg,low,4.588755900040269
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium,3.105542199977208
68-scenes\library-68\ccls-img-buildingbos.jpg,control,3.514954000012949
68-scenes\bridge-68\b_792098.jpg,medium-low,2.7698389000142924
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,high,3.476528799976222
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,control,3.844522200000938
68-scenes\house-68\house_03_01_google.jpg,control,2.536530399986077
68-scenes\house-68\house_13_02_askl.jpg,medium,2.861760899948422
68-scenes\temple-68\Singapore_01.jpg,medium,2.4336552000022493
68-scenes\skyscraper-68\city10.jpg,medium,3.244331299967598
68-scenes\bridge-68\c_791015.jpg,medium,2.9485522999893874
68-scenes\temple-68\khookongsi.jpg,low,3.6684405999840237
68-scenes\temple-68\shwezigon-temple-500.jpg,medium-low,4.788542700000107
68-scenes\skyscraper-68\a212044.jpg,control,2.7673662999877706
68-scenes\library-68\inside01.jpg,medium-low,2.845438299991656
68-scenes\library-68\Library_P2150016.jpg,high,3.109305900055915
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium-low,4.141784899984486
68-scenes\house-68\house_06_09_google.jpg,low,5.227392999979202
68-scenes\skyscraper-68\urban987.jpg,high,3.8399608999607153
68-scenes\house-68\house_08_03_askl.jpg,medium-low,2.5974467000341974
68-scenes\house-68\meeting+room_06_04_askl.jpg,high,3.154617100022733
68-scenes\bridge-68\b_791052.jpg,low,2.9808642999851145
68-scenes\bridge-68\t_792098.jpg,high,2.320044499996584
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,low,3.910135000012815
68-scenes\temple-68\TempleOfHeaven.jpg,high,2.215626200020779
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,low,3.3145743999630213
68-scenes\temple-68\image03.jpg,control,3.103915100044105
68-scenes\bridge-68\beach_07_06_flickr.jpg,control,2.938637599989306
