target,modality,RT
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,high,-1
68-scenes\temple-68\Singapore_01.jpg,control,4.111455599999317
68-scenes\library-68\Library_P2150016.jpg,low,4.557434699998339
68-scenes\temple-68\TempleOfHeaven.jpg,low,4.470528300000296
68-scenes\temple-68\image03.jpg,medium-low,3.569437799998923
68-scenes\temple-68\shwezigon-temple-500.jpg,high,4.761614400000326
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium-low,4.31555440000011
68-scenes\bridge-68\c_791015.jpg,control,5.230403199999273
68-scenes\library-68\librairie-16.jpg,control,3.830543800000669
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium,4.107230999999956
68-scenes\house-68\meeting+room_06_04_askl.jpg,low,3.8107170999992377
68-scenes\library-68\ccls-img-buildingbos.jpg,medium-low,2.0913233999999647
68-scenes\bridge-68\b_791052.jpg,medium,3.764912300001015
68-scenes\library-68\inside01.jpg,high,3.668511900001249
68-scenes\bridge-68\b_792098.jpg,high,3.7681644999993296
68-scenes\bridge-68\t_792098.jpg,low,3.9372542000000976
68-scenes\skyscraper-68\a462057.jpg,medium,4.770344299999124
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium,3.672832300000664
68-scenes\house-68\house_08_03_askl.jpg,high,3.761898500000825
68-scenes\skyscraper-68\city10.jpg,control,3.9674095999998826
68-scenes\skyscraper-68\a487065.jpg,high,3.2742010000001756
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,control,4.318593099998907
68-scenes\house-68\house_03_01_google.jpg,medium-low,4.0935986999993474
68-scenes\temple-68\khookongsi.jpg,medium,5.13983189999999
68-scenes\house-68\house_06_09_google.jpg,medium,-1
68-scenes\skyscraper-68\a212044.jpg,medium-low,-1
68-scenes\house-68\house_13_02_askl.jpg,control,3.442392800001471
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium-low,4.880055100000391
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,low,-1
68-scenes\skyscraper-68\urban987.jpg,low,-1
