target,modality,RT
68-scenes\temple-68\Singapore_01.jpg,high,4.0070186000084504
68-scenes\bridge-68\b_791052.jpg,medium-low,3.493210699991323
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium-low,3.1609069999540225
68-scenes\library-68\librairie-16.jpg,high,3.6233095000497997
68-scenes\house-68\meeting+room_06_04_askl.jpg,control,3.1785516999661922
68-scenes\temple-68\khookongsi.jpg,medium-low,3.623748500016518
68-scenes\library-68\ccls-img-buildingbos.jpg,low,2.295937000075355
68-scenes\house-68\house_06_09_google.jpg,medium-low,2.8227234000805765
68-scenes\bridge-68\c_791015.jpg,high,2.311295499908738
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,control,4.952188099967316
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium-low,3.6521895000478253
68-scenes\skyscraper-68\a487065.jpg,medium,2.884536600089632
68-scenes\temple-68\image03.jpg,low,3.609507100074552
68-scenes\temple-68\shwezigon-temple-500.jpg,medium,3.193074900074862
68-scenes\temple-68\TempleOfHeaven.jpg,control,2.4835986000252888
68-scenes\house-68\house_03_01_google.jpg,low,2.6665653999662027
68-scenes\bridge-68\t_792098.jpg,control,2.992053799913265
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium,4.190553600084968
68-scenes\skyscraper-68\urban987.jpg,control,2.9779808000894263
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,low,2.5489785000681877
68-scenes\bridge-68\b_792098.jpg,medium,3.242311899899505
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,high,3.2333508000010625
68-scenes\library-68\Library_P2150016.jpg,control,2.8210382000543177
68-scenes\bridge-68\beach_07_06_flickr.jpg,low,2.6239107999717817
68-scenes\skyscraper-68\a212044.jpg,low,1.6042590000433847
68-scenes\skyscraper-68\a462057.jpg,medium-low,3.1622982000699267
68-scenes\library-68\inside01.jpg,medium,2.8301350999390706
68-scenes\house-68\house_13_02_askl.jpg,high,2.1573774999706075
68-scenes\skyscraper-68\city10.jpg,high,2.1538214000174776
68-scenes\house-68\house_08_03_askl.jpg,medium,2.490707799908705
