target,modality,RT
68-scenes\skyscraper-68\urban987.jpg,medium,4.285070699999778
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,low,1.9969719000000623
68-scenes\house-68\house_03_01_google.jpg,high,3.5805366999993566
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,high,4.279847599998902
68-scenes\bridge-68\b_791052.jpg,control,2.2503089000001637
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,control,5.665503100000933
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium-low,3.0999426000016683
68-scenes\bridge-68\beach_07_06_flickr.jpg,high,2.858313899998393
68-scenes\house-68\house_06_09_google.jpg,control,3.1030378000014025
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium,2.1859220000005735
68-scenes\bridge-68\t_792098.jpg,medium,2.0984309000014036
68-scenes\temple-68\image03.jpg,high,2.605767700000797
68-scenes\temple-68\Singapore_01.jpg,medium-low,2.433777899999768
68-scenes\house-68\house_13_02_askl.jpg,medium-low,2.277674599999955
68-scenes\temple-68\khookongsi.jpg,control,2.6471611999986635
68-scenes\library-68\Library_P2150016.jpg,medium,3.428360800000519
68-scenes\bridge-68\c_791015.jpg,medium-low,2.336905400001342
68-scenes\house-68\house_08_03_askl.jpg,low,2.836380200000349
68-scenes\library-68\librairie-16.jpg,medium-low,2.428581899999699
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,control,2.528211700000611
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium,4.76618629999939
68-scenes\skyscraper-68\city10.jpg,medium-low,1.863095999999132
68-scenes\bridge-68\b_792098.jpg,low,2.8907013000007282
68-scenes\temple-68\TempleOfHeaven.jpg,medium,2.8344886000013503
68-scenes\library-68\inside01.jpg,low,3.4374081999994814
68-scenes\skyscraper-68\a487065.jpg,low,2.106219000001147
68-scenes\skyscraper-68\a212044.jpg,high,1.9227583000010782
68-scenes\library-68\ccls-img-buildingbos.jpg,high,2.3201012999998056
68-scenes\temple-68\shwezigon-temple-500.jpg,low,3.435916799999177
68-scenes\skyscraper-68\a462057.jpg,control,2.80157490000056
