target,modality,RT
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,control,-1
68-scenes\library-68\inside01.jpg,medium,4.80115410000144
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium-low,5.1037733999983175
68-scenes\skyscraper-68\a212044.jpg,low,-1
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium-low,4.854019099992001
68-scenes\bridge-68\beach_07_06_flickr.jpg,low,3.552416099992115
68-scenes\temple-68\shwezigon-temple-500.jpg,medium,-1
68-scenes\skyscraper-68\city10.jpg,high,4.335052599999472
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,low,4.309278200002154
68-scenes\bridge-68\b_791052.jpg,medium-low,3.429392599995481
68-scenes\bridge-68\t_792098.jpg,control,4.174463100003777
68-scenes\skyscraper-68\a487065.jpg,medium,2.8829448000033153
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium,4.320754000000306
68-scenes\bridge-68\c_791015.jpg,high,3.781545699996059
68-scenes\house-68\house_13_02_askl.jpg,high,3.628423299989663
68-scenes\temple-68\TempleOfHeaven.jpg,control,2.7576053999946453
68-scenes\skyscraper-68\urban987.jpg,control,-1
68-scenes\temple-68\image03.jpg,low,3.920645099991816
68-scenes\bridge-68\b_792098.jpg,medium,3.7937625000049593
68-scenes\house-68\house_03_01_google.jpg,low,4.477023900006316
68-scenes\library-68\Library_P2150016.jpg,control,4.61689099999785
68-scenes\house-68\house_06_09_google.jpg,medium-low,-1
68-scenes\library-68\ccls-img-buildingbos.jpg,low,3.892203299998073
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,high,4.433612799999537
68-scenes\skyscraper-68\a462057.jpg,medium-low,-1
68-scenes\house-68\meeting+room_06_04_askl.jpg,control,4.902003800001694
68-scenes\house-68\house_08_03_askl.jpg,medium,4.7662349000020185
68-scenes\temple-68\khookongsi.jpg,medium-low,-1
68-scenes\library-68\librairie-16.jpg,high,4.278955500005395
68-scenes\temple-68\Singapore_01.jpg,high,3.857080199988559
