target,modality,RT
68-scenes\house-68\meeting+room_06_04_askl.jpg,high,-1
68-scenes\house-68\house_03_01_google.jpg,control,-1
68-scenes\house-68\house_08_03_askl.jpg,medium-low,5.533658999993349
68-scenes\skyscraper-68\a212044.jpg,control,2.9044479000003776
68-scenes\bridge-68\b_791052.jpg,low,2.9956078000104753
68-scenes\library-68\ccls-img-buildingbos.jpg,control,2.990641399999731
68-scenes\skyscraper-68\urban987.jpg,high,5.43287990000681
68-scenes\bridge-68\beach_07_06_flickr.jpg,control,4.147052100001019
68-scenes\bridge-68\b_792098.jpg,medium-low,3.9471295999974245
68-scenes\temple-68\TempleOfHeaven.jpg,high,3.440252000000328
68-scenes\library-68\inside01.jpg,medium-low,3.652956299993093
68-scenes\temple-68\khookongsi.jpg,low,4.095766899990849
68-scenes\skyscraper-68\a487065.jpg,medium-low,2.674044400002458
68-scenes\skyscraper-68\city10.jpg,medium,5.763685400001123
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,low,-1
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium,3.54520209999464
68-scenes\skyscraper-68\a462057.jpg,low,5.213769800000591
68-scenes\library-68\Library_P2150016.jpg,high,5.450256099997205
68-scenes\house-68\house_06_09_google.jpg,low,-1
68-scenes\bridge-68\t_792098.jpg,high,2.5285975000006147
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,control,2.663195499990252
68-scenes\bridge-68\c_791015.jpg,medium,-1
68-scenes\library-68\librairie-16.jpg,medium,-1
68-scenes\temple-68\image03.jpg,control,4.925294800006668
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,low,4.324972400005208
68-scenes\temple-68\Singapore_01.jpg,medium,2.2119395999907283
68-scenes\temple-68\shwezigon-temple-500.jpg,medium-low,3.4289378999965265
68-scenes\house-68\house_13_02_askl.jpg,medium,3.619974400004139
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium-low,4.774120699992636
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,high,4.653275100004976
