target,modality,RT
68-scenes\house-68\meeting+room_06_04_askl.jpg,high,0.8331448000390083
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium,0.5208745999261737
68-scenes\skyscraper-68\urban987.jpg,high,0.611523300060071
68-scenes\library-68\inside01.jpg,medium-low,1.8338743000058457
68-scenes\house-68\house_13_02_askl.jpg,medium,2.1549614999676123
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,low,3.834155699936673
68-scenes\house-68\house_03_01_google.jpg,control,2.642714900081046
68-scenes\library-68\Library_P2150016.jpg,high,1.8519164000172168
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium-low,4.179788499954157
68-scenes\house-68\house_06_09_google.jpg,low,2.6341988999629393
68-scenes\temple-68\image03.jpg,control,3.496550300042145
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,low,2.9601862999843433
68-scenes\temple-68\Singapore_01.jpg,medium,2.506764000048861
68-scenes\skyscraper-68\city10.jpg,medium,3.823403300018981
68-scenes\library-68\ccls-img-buildingbos.jpg,control,2.332456399919465
68-scenes\bridge-68\b_791052.jpg,low,1.9184400000376627
68-scenes\bridge-68\beach_07_06_flickr.jpg,control,2.292478100047447
68-scenes\library-68\librairie-16.jpg,medium,2.158583899959922
68-scenes\temple-68\TempleOfHeaven.jpg,high,3.158641100046225
68-scenes\temple-68\shwezigon-temple-500.jpg,medium-low,2.337027300032787
68-scenes\bridge-68\t_792098.jpg,high,2.8360974000534043
68-scenes\house-68\house_08_03_askl.jpg,medium-low,2.6285901999799535
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,high,3.6583865999709815
68-scenes\skyscraper-68\a462057.jpg,low,3.518207900109701
68-scenes\temple-68\khookongsi.jpg,low,2.3060670000268146
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,control,2.8407897000433877
68-scenes\bridge-68\c_791015.jpg,medium,1.9798870000522584
68-scenes\bridge-68\b_792098.jpg,medium-low,1.8222243000054732
68-scenes\skyscraper-68\a487065.jpg,medium-low,1.6522470999043435
68-scenes\skyscraper-68\a212044.jpg,control,2.8207014999352396
