target,modality,RT
68-scenes\library-68\inside01.jpg,control,4.743729299982078
68-scenes\bridge-68\t_792098.jpg,medium-low,4.754582299967296
68-scenes\library-68\librairie-16.jpg,low,4.606872999982443
68-scenes\house-68\house_13_02_askl.jpg,low,-1
68-scenes\temple-68\shwezigon-temple-500.jpg,control,-1
68-scenes\bridge-68\c_791015.jpg,low,-1
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,high,-1
68-scenes\house-68\house_08_03_askl.jpg,control,3.6173364999704063
68-scenes\skyscraper-68\urban987.jpg,medium-low,-1
68-scenes\temple-68\image03.jpg,medium,5.321040200011339
68-scenes\bridge-68\b_791052.jpg,high,4.244479399989359
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,control,-1
68-scenes\temple-68\Singapore_01.jpg,low,2.5960308000212535
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium-low,3.7950498999562114
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium,3.0807596999802627
68-scenes\skyscraper-68\a462057.jpg,high,2.3994811000302434
68-scenes\temple-68\TempleOfHeaven.jpg,medium-low,4.190096000034828
68-scenes\library-68\ccls-img-buildingbos.jpg,medium,2.8253412999911234
68-scenes\bridge-68\b_792098.jpg,control,2.890706299978774
68-scenes\house-68\house_06_09_google.jpg,high,2.906868000049144
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium-low,4.196569099964108
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,high,2.2695033000200056
68-scenes\library-68\Library_P2150016.jpg,medium-low,2.261598300014157
68-scenes\skyscraper-68\a487065.jpg,control,2.4539167000330053
68-scenes\skyscraper-68\city10.jpg,low,1.9373723000171594
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium,2.6042043000343256
68-scenes\house-68\house_03_01_google.jpg,medium,2.2626820000004955
68-scenes\temple-68\khookongsi.jpg,high,1.9698771999683231
68-scenes\skyscraper-68\a212044.jpg,medium,1.2631118000135757
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,low,2.206962800002657
