target,modality,RT
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,high,-1
68-scenes\temple-68\image03.jpg,control,4.439502299999731
68-scenes\house-68\house_06_09_google.jpg,low,4.195064999999886
68-scenes\skyscraper-68\a212044.jpg,control,2.577295199999753
68-scenes\library-68\Library_P2150016.jpg,high,3.117002799999682
68-scenes\bridge-68\c_791015.jpg,medium,1.917938100000356
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,low,2.3261812000000646
68-scenes\skyscraper-68\a462057.jpg,low,2.327857500000391
68-scenes\bridge-68\b_792098.jpg,medium-low,2.671289199999592
68-scenes\house-68\house_13_02_askl.jpg,medium,3.652280100000098
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,low,2.112804000000324
68-scenes\bridge-68\beach_07_06_flickr.jpg,control,2.517734900000505
68-scenes\temple-68\khookongsi.jpg,low,2.2455055999998876
68-scenes\bridge-68\t_792098.jpg,high,2.309761100000287
68-scenes\house-68\meeting+room_06_04_askl.jpg,high,1.8004640999997719
68-scenes\skyscraper-68\a487065.jpg,medium-low,2.2520549000000756
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,control,2.0006692000006296
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium-low,1.8897501999999804
68-scenes\temple-68\shwezigon-temple-500.jpg,medium-low,1.8019594999996116
68-scenes\bridge-68\b_791052.jpg,low,1.940866900000401
68-scenes\library-68\librairie-16.jpg,medium,1.5843175999998493
68-scenes\skyscraper-68\urban987.jpg,high,2.4213271999997232
68-scenes\skyscraper-68\city10.jpg,medium,2.5164323999997578
68-scenes\temple-68\Singapore_01.jpg,medium,1.5517752000005203
68-scenes\library-68\inside01.jpg,medium-low,1.9568642000012915
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium,1.9356372000002011
68-scenes\library-68\ccls-img-buildingbos.jpg,control,1.657777399999759
68-scenes\house-68\house_08_03_askl.jpg,medium-low,2.1027530999999726
68-scenes\temple-68\TempleOfHeaven.jpg,high,1.7585214999999152
68-scenes\house-68\house_03_01_google.jpg,control,2.2532888000005187
