target,modality,RT
68-scenes\temple-68\Singapore_01.jpg,medium-low,4.218723500031047
68-scenes\bridge-68\b_792098.jpg,low,-1
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium,-1
68-scenes\house-68\house_06_09_google.jpg,control,5.493711900024209
68-scenes\house-68\house_13_02_askl.jpg,medium-low,5.599725799984299
68-scenes\skyscraper-68\city10.jpg,medium-low,-1
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,high,5.234152100048959
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium,5.798799799988046
68-scenes\temple-68\image03.jpg,high,-1
68-scenes\bridge-68\beach_07_06_flickr.jpg,high,4.898473599983845
68-scenes\library-68\Library_P2150016.jpg,medium,-1
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,control,-1
68-scenes\skyscraper-68\a487065.jpg,low,2.8626862000091933
68-scenes\temple-68\TempleOfHeaven.jpg,medium,5.193048399989493
68-scenes\temple-68\khookongsi.jpg,control,-1
68-scenes\house-68\house_03_01_google.jpg,high,5.002943900006358
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,low,3.228324799973052
68-scenes\skyscraper-68\a462057.jpg,control,-1
68-scenes\skyscraper-68\a212044.jpg,high,-1
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,control,-1
68-scenes\bridge-68\c_791015.jpg,medium-low,-1
68-scenes\bridge-68\t_792098.jpg,medium,-1
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium-low,-1
68-scenes\library-68\inside01.jpg,low,-1
68-scenes\bridge-68\b_791052.jpg,control,3.127340600010939
68-scenes\house-68\house_08_03_askl.jpg,low,-1
68-scenes\library-68\ccls-img-buildingbos.jpg,high,4.60030300001381
68-scenes\skyscraper-68\urban987.jpg,medium,-1
68-scenes\temple-68\shwezigon-temple-500.jpg,low,-1
68-scenes\library-68\librairie-16.jpg,medium-low,-1
