target,modality,RT
68-scenes\temple-68\shwezigon-temple-500.jpg,control,3.498724599950947
68-scenes\skyscraper-68\a212044.jpg,medium,-1
68-scenes\skyscraper-68\urban987.jpg,medium-low,3.495843500015326
68-scenes\bridge-68\b_792098.jpg,control,5.663036499987356
68-scenes\temple-68\Singapore_01.jpg,low,2.6178785999072716
68-scenes\library-68\Library_P2150016.jpg,medium-low,3.831238599959761
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium,2.854671699926257
68-scenes\skyscraper-68\a462057.jpg,high,4.49646529997699
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium-low,4.30484019999858
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,high,3.8266636000480503
68-scenes\skyscraper-68\a487065.jpg,control,3.28513950004708
68-scenes\bridge-68\b_791052.jpg,high,3.9370773000409827
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,high,4.504992100060917
68-scenes\house-68\house_03_01_google.jpg,medium,2.6051420000148937
68-scenes\bridge-68\c_791015.jpg,low,2.4893944000359625
68-scenes\temple-68\image03.jpg,medium,2.9498826999915764
68-scenes\house-68\house_08_03_askl.jpg,control,3.5336097000399604
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium-low,3.57510680006817
68-scenes\house-68\house_06_09_google.jpg,high,2.490650999941863
68-scenes\temple-68\TempleOfHeaven.jpg,medium-low,2.558900999953039
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,control,5.1676949000684544
68-scenes\skyscraper-68\city10.jpg,low,3.2558683999814093
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium,4.850147999939509
68-scenes\bridge-68\t_792098.jpg,medium-low,3.1554403000045568
68-scenes\library-68\librairie-16.jpg,low,3.159834299935028
68-scenes\library-68\inside01.jpg,control,2.8651008000597358
68-scenes\house-68\house_13_02_askl.jpg,low,2.869458199944347
68-scenes\temple-68\khookongsi.jpg,high,2.9138242000481114
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,low,3.9200434000231326
68-scenes\library-68\ccls-img-buildingbos.jpg,medium,2.820323600084521
