target,modality,RT
68-scenes\library-68\inside01.jpg,low,3.1527006002143025
68-scenes\temple-68\Singapore_01.jpg,medium-low,3.487852199934423
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,high,4.489294799976051
68-scenes\skyscraper-68\city10.jpg,medium-low,2.9739205001387745
68-scenes\library-68\ccls-img-buildingbos.jpg,high,2.5903191999532282
68-scenes\bridge-68\t_792098.jpg,medium,4.305410699918866
68-scenes\library-68\librairie-16.jpg,medium-low,3.340228100074455
68-scenes\library-68\Library_P2150016.jpg,medium,2.9120697998441756
68-scenes\house-68\house_08_03_askl.jpg,low,3.152815599925816
68-scenes\skyscraper-68\a487065.jpg,low,2.828498100163415
68-scenes\temple-68\khookongsi.jpg,control,2.979228800162673
68-scenes\temple-68\image03.jpg,high,2.5162583999335766
68-scenes\skyscraper-68\a212044.jpg,high,3.155339299933985
68-scenes\bridge-68\c_791015.jpg,medium-low,2.6121177999302745
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,low,3.8225053001660854
68-scenes\bridge-68\beach_07_06_flickr.jpg,high,3.1564507000148296
68-scenes\house-68\house_06_09_google.jpg,control,3.2171710999682546
68-scenes\bridge-68\b_791052.jpg,control,2.9392365999519825
68-scenes\skyscraper-68\urban987.jpg,medium,4.15452149999328
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,control,3.4902492000255734
68-scenes\house-68\house_03_01_google.jpg,high,3.151552699971944
68-scenes\bridge-68\b_792098.jpg,low,2.4869695000816137
68-scenes\house-68\house_13_02_askl.jpg,medium-low,2.9022814999334514
68-scenes\temple-68\shwezigon-temple-500.jpg,low,3.1562067999038845
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium-low,3.486740899970755
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium,4.17711429996416
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,control,3.1538305000867695
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium,3.156045600073412
68-scenes\temple-68\TempleOfHeaven.jpg,medium,3.2117617002222687
68-scenes\skyscraper-68\a462057.jpg,control,2.830832199892029
