target,modality,RT
68-scenes\library-68\Library_P2150016.jpg,medium,-1
68-scenes\skyscraper-68\a487065.jpg,low,4.453090900031384
68-scenes\temple-68\shwezigon-temple-500.jpg,low,3.6580202999757603
68-scenes\library-68\ccls-img-buildingbos.jpg,high,4.094722500012722
68-scenes\skyscraper-68\a212044.jpg,high,4.884879400022328
68-scenes\temple-68\image03.jpg,high,2.9625678999582306
68-scenes\bridge-68\beach_07_06_flickr.jpg,high,2.42742249998264
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,control,4.460123700031545
68-scenes\house-68\house_13_02_askl.jpg,medium-low,3.470888899988495
68-scenes\bridge-68\b_792098.jpg,low,4.566356799972709
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,low,-1
68-scenes\library-68\librairie-16.jpg,medium-low,5.541141199995764
68-scenes\temple-68\Singapore_01.jpg,medium-low,4.24251919996459
68-scenes\house-68\house_08_03_askl.jpg,low,4.85619909997331
68-scenes\skyscraper-68\city10.jpg,medium-low,4.342185500019696
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,control,-1
68-scenes\library-68\inside01.jpg,low,4.283835800015368
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,high,4.20371889998205
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium-low,4.097420200007036
68-scenes\bridge-68\b_791052.jpg,control,3.442584500007797
68-scenes\skyscraper-68\urban987.jpg,medium,4.862157499999739
68-scenes\temple-68\khookongsi.jpg,control,4.677399399981368
68-scenes\house-68\house_06_09_google.jpg,control,-1
68-scenes\skyscraper-68\a462057.jpg,control,3.5010012999991886
68-scenes\bridge-68\c_791015.jpg,medium-low,4.657573100004811
68-scenes\bridge-68\t_792098.jpg,medium,5.774376999994274
68-scenes\temple-68\TempleOfHeaven.jpg,medium,3.6690339000197127
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium,4.126162300002761
68-scenes\house-68\house_03_01_google.jpg,high,5.326593700039666
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium,-1
