target,modality,RT
68-scenes\library-68\inside01.jpg,high,4.844711399986409
68-scenes\library-68\ccls-img-buildingbos.jpg,medium-low,3.8422054999973625
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,control,3.904921400011517
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium-low,3.2757883000886068
68-scenes\temple-68\image03.jpg,medium-low,3.5234099999070168
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium,4.175114099984057
68-scenes\skyscraper-68\a212044.jpg,medium-low,4.155378800001927
68-scenes\house-68\meeting+room_06_04_askl.jpg,low,3.494202799978666
68-scenes\temple-68\khookongsi.jpg,medium,4.182891599950381
68-scenes\house-68\house_03_01_google.jpg,medium-low,4.242399100097828
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium,4.8294461000477895
68-scenes\temple-68\Singapore_01.jpg,control,4.839932700037025
68-scenes\library-68\librairie-16.jpg,control,3.9552660000044852
68-scenes\house-68\house_08_03_askl.jpg,high,4.163768200087361
68-scenes\library-68\Library_P2150016.jpg,low,3.5161384999519214
68-scenes\bridge-68\c_791015.jpg,control,3.4939789000200108
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,high,3.949536200030707
68-scenes\skyscraper-68\a462057.jpg,medium,5.168803600012325
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium-low,3.1760251000523567
68-scenes\bridge-68\b_792098.jpg,high,3.8279114000033587
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,low,-1
68-scenes\bridge-68\t_792098.jpg,low,4.163753699976951
68-scenes\skyscraper-68\a487065.jpg,high,3.498280900064856
68-scenes\house-68\house_06_09_google.jpg,medium,4.50378789997194
68-scenes\temple-68\shwezigon-temple-500.jpg,high,4.175608000019565
68-scenes\skyscraper-68\urban987.jpg,low,4.5785371999954805
68-scenes\temple-68\TempleOfHeaven.jpg,low,3.1639398999977857
68-scenes\house-68\house_13_02_askl.jpg,control,2.83928079996258
68-scenes\bridge-68\b_791052.jpg,medium,3.8333772000623867
68-scenes\skyscraper-68\city10.jpg,control,3.8285972999874502
