target,modality,RT
68-scenes\library-68\librairie-16.jpg,control,0.44081780000124127
68-scenes\house-68\house_13_02_askl.jpg,control,-1
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,low,-1
68-scenes\bridge-68\b_791052.jpg,medium,-1
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium-low,4.520131200028118
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,control,4.274483199988026
68-scenes\bridge-68\t_792098.jpg,low,3.760424799984321
68-scenes\temple-68\image03.jpg,medium-low,3.244882599974517
68-scenes\bridge-68\c_791015.jpg,control,3.400303600006737
68-scenes\skyscraper-68\a487065.jpg,high,3.9668875000206754
68-scenes\bridge-68\b_792098.jpg,high,3.672838700003922
68-scenes\skyscraper-68\a462057.jpg,medium,3.4231147000100464
68-scenes\library-68\inside01.jpg,high,3.66135559999384
68-scenes\skyscraper-68\a212044.jpg,medium-low,3.97517330001574
68-scenes\skyscraper-68\city10.jpg,control,2.3150506999809295
68-scenes\library-68\ccls-img-buildingbos.jpg,medium-low,2.9174090000451542
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium,4.63991279999027
68-scenes\temple-68\TempleOfHeaven.jpg,low,2.784335699980147
68-scenes\temple-68\shwezigon-temple-500.jpg,high,3.0831691999919713
68-scenes\house-68\meeting+room_06_04_askl.jpg,low,3.211312299943529
68-scenes\temple-68\khookongsi.jpg,medium,4.535216599993873
68-scenes\library-68\Library_P2150016.jpg,low,3.6524923000251874
68-scenes\house-68\house_08_03_askl.jpg,high,3.426930400019046
68-scenes\temple-68\Singapore_01.jpg,control,2.1334463999955915
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium-low,2.4821347999968566
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium,-1
68-scenes\house-68\house_03_01_google.jpg,medium-low,2.149136899970472
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,high,2.523221699986607
68-scenes\house-68\house_06_09_google.jpg,medium,3.903182799986098
68-scenes\skyscraper-68\urban987.jpg,low,2.8576725000166334
