target,modality,RT
68-scenes\temple-68\Singapore_01.jpg,high,4.449881099993945
68-scenes\bridge-68\beach_07_06_flickr.jpg,low,5.4350091999949655
68-scenes\skyscraper-68\a462057.jpg,medium-low,4.5202716999992845
68-scenes\house-68\house_06_09_google.jpg,medium-low,4.474102400003176
68-scenes\house-68\house_03_01_google.jpg,low,3.783614400002989
68-scenes\skyscraper-68\city10.jpg,high,2.8437718999994104
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium-low,2.6140300999977626
68-scenes\bridge-68\b_792098.jpg,medium,2.767813799997384
68-scenes\library-68\librairie-16.jpg,high,-1
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium-low,4.435127800003102
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,low,-1
68-scenes\bridge-68\c_791015.jpg,high,3.102758500004711
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium,5.529105099994922
68-scenes\skyscraper-68\a487065.jpg,medium,2.8175465000022086
68-scenes\library-68\Library_P2150016.jpg,control,4.584287700003188
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,control,-1
68-scenes\library-68\inside01.jpg,medium,4.26863470000535
68-scenes\house-68\house_13_02_askl.jpg,high,3.309205400000792
68-scenes\skyscraper-68\urban987.jpg,control,5.337195200001588
68-scenes\house-68\meeting+room_06_04_askl.jpg,control,4.110450399995898
68-scenes\temple-68\khookongsi.jpg,medium-low,4.786168699996779
68-scenes\bridge-68\t_792098.jpg,control,3.9788745999976527
68-scenes\temple-68\shwezigon-temple-500.jpg,medium,4.5909031000046525
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,high,-1
68-scenes\temple-68\image03.jpg,low,3.2328364999993937
68-scenes\library-68\ccls-img-buildingbos.jpg,low,4.102879599995504
68-scenes\house-68\house_08_03_askl.jpg,medium,4.901982800001861
68-scenes\skyscraper-68\a212044.jpg,low,3.6025915999998688
68-scenes\temple-68\TempleOfHeaven.jpg,control,3.1407200999965426
68-scenes\bridge-68\b_791052.jpg,medium-low,3.8731228000033298
