target,modality,RT
68-scenes\house-68\house_13_02_askl.jpg,low,5.169985300046392
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium-low,2.617893600021489
68-scenes\temple-68\Singapore_01.jpg,low,3.15356280002743
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium,3.502828099997714
68-scenes\bridge-68\b_791052.jpg,high,2.8417915999889374
68-scenes\house-68\house_08_03_askl.jpg,control,2.235213299980387
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium-low,3.5512776999967173
68-scenes\skyscraper-68\urban987.jpg,medium-low,2.559521700022742
68-scenes\temple-68\shwezigon-temple-500.jpg,control,2.6592440999811515
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,high,1.99710550007876
68-scenes\bridge-68\c_791015.jpg,low,1.9802555999485776
68-scenes\library-68\Library_P2150016.jpg,medium-low,2.1800559000112116
68-scenes\house-68\house_06_09_google.jpg,high,2.1576878000050783
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,control,2.3258213999215513
68-scenes\temple-68\khookongsi.jpg,high,2.2438985999906436
68-scenes\skyscraper-68\a462057.jpg,high,2.5898353999946266
68-scenes\temple-68\TempleOfHeaven.jpg,medium-low,1.5850380999036133
68-scenes\temple-68\image03.jpg,medium,1.6573788999812678
68-scenes\bridge-68\b_792098.jpg,control,1.8358867999631912
68-scenes\library-68\inside01.jpg,control,1.9618973000906408
68-scenes\bridge-68\t_792098.jpg,medium-low,2.159077399992384
68-scenes\skyscraper-68\a487065.jpg,control,1.8375687999650836
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,low,2.156040099915117
68-scenes\skyscraper-68\city10.jpg,low,1.831977599998936
68-scenes\skyscraper-68\a212044.jpg,medium,2.1568520000437275
68-scenes\library-68\librairie-16.jpg,low,1.8888224000111222
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium,1.9678911999799311
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,high,2.500804299954325
68-scenes\library-68\ccls-img-buildingbos.jpg,medium,1.9099032999947667
68-scenes\house-68\house_03_01_google.jpg,medium,1.8544558000285178
