target,modality,RT
68-scenes\house-68\meeting+room_06_04_askl.jpg,control,-1
68-scenes\skyscraper-68\a212044.jpg,low,-1
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,high,4.508236899971962
68-scenes\library-68\inside01.jpg,medium,4.157116999849677
68-scenes\temple-68\shwezigon-temple-500.jpg,medium,3.8348853001371026
68-scenes\library-68\librairie-16.jpg,high,3.4993420999962837
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,low,3.1539493000600487
68-scenes\temple-68\TempleOfHeaven.jpg,control,2.5985127000603825
68-scenes\skyscraper-68\urban987.jpg,control,2.930748499929905
68-scenes\temple-68\image03.jpg,low,1.8900707999709994
68-scenes\bridge-68\c_791015.jpg,high,2.232049399986863
68-scenes\bridge-68\beach_07_06_flickr.jpg,low,2.154918599873781
68-scenes\bridge-68\t_792098.jpg,control,2.48814390017651
68-scenes\house-68\house_03_01_google.jpg,low,2.8417674000374973
68-scenes\library-68\Library_P2150016.jpg,control,3.16496009984985
68-scenes\house-68\house_08_03_askl.jpg,medium,3.8906080999877304
68-scenes\house-68\house_06_09_google.jpg,medium-low,4.662204500054941
68-scenes\bridge-68\b_792098.jpg,medium,3.492193500045687
68-scenes\bridge-68\b_791052.jpg,medium-low,3.1541518000885844
68-scenes\temple-68\Singapore_01.jpg,high,3.1655403000768274
68-scenes\library-68\ccls-img-buildingbos.jpg,low,2.493448399938643
68-scenes\house-68\house_13_02_askl.jpg,high,2.8243321999907494
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium-low,3.8284167000092566
68-scenes\skyscraper-68\a487065.jpg,medium,2.827338899951428
68-scenes\skyscraper-68\city10.jpg,high,2.5104542998597026
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,control,4.157150899991393
68-scenes\temple-68\khookongsi.jpg,medium-low,3.2607291999738663
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,medium,4.492749100085348
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium-low,3.1926218001171947
68-scenes\skyscraper-68\a462057.jpg,medium-low,3.601982600055635
