target,modality,RT
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium-low,-1
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,control,-1
68-scenes\temple-68\TempleOfHeaven.jpg,low,-1
68-scenes\house-68\house_03_01_google.jpg,medium-low,-1
68-scenes\temple-68\shwezigon-temple-500.jpg,high,-1
68-scenes\temple-68\image03.jpg,medium-low,-1
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,medium,-1
68-scenes\skyscraper-68\city10.jpg,control,-1
68-scenes\library-68\Library_P2150016.jpg,low,-1
68-scenes\library-68\inside01.jpg,high,-1
68-scenes\bridge-68\t_792098.jpg,low,-1
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,high,-1
68-scenes\library-68\librairie-16.jpg,control,-1
68-scenes\house-68\meeting+room_06_04_askl.jpg,low,-1
68-scenes\temple-68\Singapore_01.jpg,control,-1
68-scenes\bridge-68\c_791015.jpg,control,-1
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium-low,-1
68-scenes\library-68\ccls-img-buildingbos.jpg,medium-low,-1
68-scenes\skyscraper-68\a462057.jpg,medium,-1
68-scenes\temple-68\khookongsi.jpg,medium,-1
68-scenes\skyscraper-68\a212044.jpg,medium-low,-1
68-scenes\house-68\house_06_09_google.jpg,medium,-1
68-scenes\bridge-68\b_791052.jpg,medium,-1
68-scenes\bridge-68\b_792098.jpg,high,-1
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,low,-1
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,medium,-1
68-scenes\house-68\house_08_03_askl.jpg,high,-1
68-scenes\skyscraper-68\a487065.jpg,high,-1
68-scenes\skyscraper-68\urban987.jpg,low,-1
68-scenes\house-68\house_13_02_askl.jpg,control,-1
