target,modality,RT
68-scenes\house-68\house_08_03_askl.jpg,low,3.204097600071691
68-scenes\library-68\librairie-16.jpg,medium-low,3.528080200077966
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium-low,-1
68-scenes\skyscraper-68\a462057.jpg,control,3.162676400039345
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium,5.631679099984467
68-scenes\skyscraper-68\urban987.jpg,medium,3.165683100000024
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,high,3.4908449000213295
68-scenes\bridge-68\c_791015.jpg,medium-low,3.1630979999899864
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium,3.1698604999110103
68-scenes\skyscraper-68\city10.jpg,medium-low,2.8778185000410303
68-scenes\library-68\Library_P2150016.jpg,medium,3.3263647001003847
68-scenes\bridge-68\beach_07_06_flickr.jpg,high,2.823907700018026
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,low,3.976172999944538
68-scenes\house-68\house_13_02_askl.jpg,medium-low,3.336500099976547
68-scenes\house-68\house_06_09_google.jpg,control,3.9656837000511587
68-scenes\skyscraper-68\a212044.jpg,high,3.4851373999845237
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,control,3.840305000077933
68-scenes\bridge-68\b_792098.jpg,low,3.581048500025645
68-scenes\library-68\inside01.jpg,low,3.873624200001359
68-scenes\temple-68\khookongsi.jpg,control,5.157286999979988
68-scenes\temple-68\TempleOfHeaven.jpg,medium,4.22935989999678
68-scenes\temple-68\shwezigon-temple-500.jpg,low,4.562716599903069
68-scenes\house-68\house_03_01_google.jpg,high,4.846159499953501
68-scenes\bridge-68\b_791052.jpg,control,3.8417974000331014
68-scenes\library-68\ccls-img-buildingbos.jpg,high,3.8271326000103727
68-scenes\temple-68\Singapore_01.jpg,medium-low,3.2781271000858396
68-scenes\bridge-68\t_792098.jpg,medium,-1
68-scenes\temple-68\image03.jpg,high,3.314883599989116
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,control,-1
68-scenes\skyscraper-68\a487065.jpg,low,2.8455518999835476
