target,modality,RT
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,control,2.1877581999870017
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,high,3.8287851999048144
68-scenes\temple-68\image03.jpg,high,2.8325809000525624
68-scenes\temple-68\shwezigon-temple-500.jpg,low,2.634183100075461
68-scenes\house-68\house_13_02_askl.jpg,medium-low,2.8321935000130907
68-scenes\temple-68\khookongsi.jpg,control,2.5039412000915036
68-scenes\house-68\house_06_09_google.jpg,control,2.1566678999224678
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,low,3.2036479000234976
68-scenes\house-68\house_08_03_askl.jpg,low,2.4885990999173373
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium,3.1641748000402004
68-scenes\skyscraper-68\city10.jpg,medium-low,2.645025399979204
68-scenes\library-68\Library_P2150016.jpg,medium,3.49117210006807
68-scenes\bridge-68\c_791015.jpg,medium-low,2.2035177000798285
68-scenes\temple-68\Singapore_01.jpg,medium-low,2.159320499980822
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,control,2.6598068999592215
68-scenes\skyscraper-68\a212044.jpg,high,2.502210299950093
68-scenes\library-68\inside01.jpg,low,2.2183295000577345
68-scenes\bridge-68\beach_07_06_flickr.jpg,high,1.848036399926059
68-scenes\skyscraper-68\urban987.jpg,medium,2.9013991999672726
68-scenes\bridge-68\t_792098.jpg,medium,2.8324910999508575
68-scenes\bridge-68\b_791052.jpg,control,3.274451799923554
68-scenes\skyscraper-68\a462057.jpg,control,3.489708400098607
68-scenes\library-68\ccls-img-buildingbos.jpg,high,2.4924651000183076
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,medium-low,2.4826265999581665
68-scenes\library-68\librairie-16.jpg,medium-low,3.1657961000455543
68-scenes\bridge-68\b_792098.jpg,low,2.154473999980837
68-scenes\temple-68\TempleOfHeaven.jpg,medium,2.4856462000170723
68-scenes\skyscraper-68\a487065.jpg,low,1.614288799930364
68-scenes\house-68\house_03_01_google.jpg,high,2.21614190004766
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium,4.173687499947846
