target,modality,RT
68-scenes\skyscraper-68\a212044.jpg,medium,3.639519600001222
68-scenes\house-68\house_08_03_askl.jpg,control,4.636960400001044
68-scenes\library-68\librairie-16.jpg,low,4.901978899999449
68-scenes\skyscraper-68\a487065.jpg,control,-1
68-scenes\temple-68\khookongsi.jpg,high,4.140997799999241
68-scenes\castle-68\FreeFoto_castle_3_9.jpg,low,4.5792175000005955
68-scenes\library-68\ccls-img-buildingbos.jpg,medium,4.329281000000265
68-scenes\house-68\house_03_01_google.jpg,medium,5.448490999999194
68-scenes\skyscraper-68\a462057.jpg,high,3.5957617000003665
68-scenes\castle-68\FreeFoto_castle_1_22.jpg,medium,3.6458368000003247
68-scenes\house-68\house_06_09_google.jpg,high,4.7674127999998746
68-scenes\temple-68\TempleOfHeaven.jpg,medium-low,3.81343040000138
68-scenes\house-68\house_13_02_askl.jpg,low,4.639629700001024
68-scenes\bridge-68\t_792098.jpg,medium-low,5.100508400000763
68-scenes\library-68\inside01.jpg,control,5.454477499999484
68-scenes\temple-68\image03.jpg,medium,4.269398899999942
68-scenes\castle-68\FreeFoto_castle_20_49.jpg,high,-1
68-scenes\library-68\Library_P2150016.jpg,medium-low,-1
68-scenes\temple-68\Singapore_01.jpg,low,4.873812800000451
68-scenes\bridge-68\b_792098.jpg,control,5.216581700000461
68-scenes\skyscraper-68\urban987.jpg,medium-low,5.768513200000598
68-scenes\library-68\Fairfield_Pub_Library_A.jpg,high,-1
68-scenes\castle-68\FreeFoto_castle_23_3.jpg,control,-1
68-scenes\castle-68\FreeFoto_castle_5_49.jpg,medium-low,-1
68-scenes\bridge-68\b_791052.jpg,high,4.125310700001137
68-scenes\bridge-68\beach_07_06_flickr.jpg,medium,3.2366911999997683
68-scenes\house-68\meeting+room_06_04_askl.jpg,medium-low,5.132075199999235
68-scenes\temple-68\shwezigon-temple-500.jpg,control,-1
68-scenes\skyscraper-68\city10.jpg,low,4.589292499998919
68-scenes\bridge-68\c_791015.jpg,low,3.8113689000001614
